industry,sector,CIN
13,393,L28998DL1983PLC017150
17,527,L65910DL1985PLC019976
13,393,L27109WB1957PLC023360
2,237,L01132WB1986PLC067974
2,237,U45201RJ2005PLC020463
13,37,L29130RJ1990PLC005370
2,237,L65921DL1991PLC043544
13,369,L24305RJ1986PLC016132
2,237,L65910GJ1995PLC025057
13,183,L24110GJ1989PLC012441
13,604,L51909WB1986PLC040379
2,237,L67120WB1990PLC048642
13,507,L24292WB1954PLC021516
13,506,L30007TN1992PLC023620
27,210,L45201TN1992PLC022693
16,315,L99999MH1994PLC083912
21,384,L99999MH1994PLC076732
13,604,L24111GJ1995PLC025266
18,434,L35110GJ1987PLC009840
16,519,L67190DL1989PLC036860
10,30,L51109WB1938PLC009490
21,384,L74899DL1993PLC055768
10,30,L72200DL1988PLC192643
6,216,L21100MH1983PLC029471
13,393,L74899DL1970PLC005354
10,30,L26100GJ1907PLC000033
10,30,L24230GJ2010PLC061123
5,198,U99999MH1980PLC022533
13,393,U99999MH1985PLC038438
2,237,L67120PB1995PLC016127
13,312,L20100GJ1991PLC016763
2,237,L51909DL1985PLC020474
13,506,L31102OR1982PLC001151
1,360,L67120MP1994PLC008375
13,37,L74999WB1919PLC003516
13,37,L99999PN1990PLC059487
13,379,L74899DL1944PLC000759
9,236,L36911MH1989PLC053685
21,384,L99999MH1993PLC168521
16,519,L65910MH1994PLC165204
13,183,L27109TG1968PLC001196
10,30,U00305MH1973PLC174201
13,183,L99999MH1979PLC021796
13,393,U99999MH1989PTC051219
2,237,
18,622,L63010MH2004PLC073508
16,315,L65993DL1989PLC035409
2,237,U52190WB1990PLC050345
13,639,L72900MH2002PLC135829
12,8,L72200MH1995PLC085488
2,237,L65921DL1985PLC022476
17,527,U99999MH1946PLC005277
2,237,L67120WB1992PLC055982
12,22,L72300TN1998PLC041033
12,8,L99999TG1991PLC013252
16,519,L74899DL1994PLC059839
17,527,L51900MH1981PLC025145
21,384,L17110DN1986PLC000334
13,393,L70200WB1980PLC032662
10,30,L85195MP1988PLC004446
2,237,
1,300,L51909DL1983PLC015099
10,30,U24232PB1987PLC007304
2,237,L29294GJ1993PLC019278
18,188,L23201GJ1993PLC018889
6,216,L74210TG1987PLC007580 
2,237,U99999MH1985PTC036364
2,237,L74899DL1993PLC051901
16,315,L85110KA1992PLC013174
1,225,L15520MP1974PLC001309
12,22,L74140GJ1995PLC025261
21,384,L51109UP1972PLC003544
16,315,L65923DL1987PLC027305
1,470,L29129TN1989PLC018112
13,506,L74140MH1992PLC068379
13,506,L31102DL1957PLC193993
2,237,L65929DL1985PLC021037
13,183,L24110AP1984PLC005096
13,183,L24100MH1974PLC017594
6,216,L70109WB1948PLC016546
16,519,L31100MH1936PLC002497
17,527,L51100GJ1984PLC020026
2,237,L15142WB1983PLC035708
7,42,L99999MH1984PLC032687
27,210,U65993WB1983PLC036535
13,506,L31402AP1985PLC005305
17,527,U24299PY1985PLC000310
21,384,L17111TZ1987PLC002090
16,315,L67120GJ1994PLC023254
13,506,U99999MH1992PLC067004
10,30,L52100GJ1978PLC003159
1,225,L15400GJ1992PLC018758
13,506,L65991TN1964PLC005259
7,485,L24248AP1995PLC020077
2,237,L67120WB1973PLC028772
21,384,L17115TZ1988PLC002269
21,546,U17100MH1939PLC002887
13,393,U25202GJ2010PLC059931
13,444,L25200MH1992PLC068544
13,390,L26942GJ1981PLC004717
13,393,L27106BR1989PLC003364
13,393,L15310BR1987PLC002657
13,393,L74899DL1987PLC029035
13,639,L28122DL1983PLC017141
13,183,L24230TG1996PLC023283
13,604,L28910MH1971PLC015119
12,8,L72900WB1990PLC049571
13,183,L24229AS1973PLC001446
1,470,L51909KL1987PLC004781
16,315,L51909WB1980PLC033050
21,384,L17110MH1994PLC076660
2,237,L65990MH1992PLC067266
21,384,L17100DL1991PLC171468
13,393,L30007TN1993PLC024842
15,314,L14100GJ1979PLC003439
16,315,L29199GJ1984PLC007195
2,237,U65910DN1994PLC000362
2,237,U74999GJ2004PLC044988
17,527,L91110GJ1988PLC010674
2,237,L51109WB1984PLC047948
17,527,L01110GJ1991PLC015846
17,527,L01111UP1985PLC010776
1,225,U51909UP1985PLC056366
1,326,L15141UP1940PLC000946
2,237,L67120WB1975PLC029800
10,600,L24231TN1936PLC000017
16,315,U74899DL2003PLC122266
13,37,L27230HR1988PLC030333
16,519,L65999DL1985PLC022723
2,237,L36911WB1981PLC033882
2,237,L65923GJ1993PLC020660
13,454,L21015UP1989PLC011200
13,506,U52110DL1983PLC016656
1,360,L15492WB1920PLC005244
27,210,L45400HR1985PLC021622
21,384,U17119MH1984PLC032289
27,210,L45201TN1992PLC023831
16,519,L29199GJ1992PLC018047
2,237,
16,315,L26942AP1936PLC002379
13,183,L23209AP1984PLC004635
21,50,L19110AP1974PLC001711
13,183,L15420AP1947PLC000326
1,360,L63090WB1919GOI003229
13,37,L51909DL1991PLC045084
17,527,L51909DL1990PLC042445
1,326,L24118MH1976PLC136836
13,639,L29195DL1985PLC020909
1,360,L15490GJ1993PLC019895
13,393,L27107RJ1968PLC001245
2,237,L67120DL1982PLC014576
21,384,L51109UP1984PLC006890
17,527,U17101DL1999PLC102506
16,519,L51909WB1983PLC035944
13,138,U24292AP1989PLC009650
21,384,L17119GJ1988PLC011120
2,237,L65910GJ1989PLC012142
2,237,L65910AP1983PLC004005
13,390,L26942TG1983PLC004323 
21,546,L11711GJ1984PLC007048
16,519,L65993DL1980PLC202644
13,444,L19201HR1994PLC033268
2,237,L63011WB1983PLC035993
1,360,L15500WB1981PLC033900
13,393,L27101WB2002PLC094979
16,519,L65923WB1992PLC054001
10,30,L24230MH1995PLC085410
13,390,L17117PB1989PLC009171
20,542,L52110DL1985PLC020054
16,519,L65910GJ1993PLC019936
27,210,L65910DL1993PLC052061
27,210,U45201WB1981PLC033514
1,360,L15130HR1994PLC032362
27,210,L45201DL1983PLC017225
6,216,L45201DL1983PLC016821
6,216,L45101DL1967PLC004759
9,573,L51900MH1984PLC034879
21,384,L36999GJ1995PLC025177
13,393,L29212DL1983PLC088911
13,94,L22219WB1991PLC051949
6,216,U51109WB2006PLC107433
10,30,L24230MH1960PLC011586
17,527,L51103MH1985PLC036664
13,379,L99999GJ1962PLC001170
13,312,L27310WB1981PLC033923
13,393,L27310GJ1980PLC004096
2,237,L26922WB1974PLC029494
13,506,L91110GJ1989PLC012802
1,360,L99999MH1986PLC039199
1,360,U01132AS1977PLC001714
6,216,L34201JH1994PLC006028
14,389,L45400DL1993PLC051603
2,237,L65999WB1995PLC067302
13,183,L51109WB1995PLC068542
2,237,L74210WB1974PLC029678
13,505,U74140DL1967PLC004730
1,360,L51900DL1983PLC164048
13,393,L74899DL1986PLC023443
13,506,L99999MH1964PLC013018
10,242,L80902MH1996PLC100018
21,384,L21015RJ1973PLC015819
2,237,L65993TZ1980PLC003978
16,519,L51900MH1985PLC036991
10,179,L85110TN1979PLC008035
2,237,L65993WB1983PLC035758
11,202,L72300TN1998PLC041360
13,581,L25111KL1972PLC002449
2,237,L74899DL1983PLC016713
2,237,L65921TN1988PLC016275
16,519,L65910MH1985PLC037767
13,390,L29219WB1990PLC050258
20,542,L51495WB1983PLC035864
13,379,L99999GJ1957PLC001326
13,444,L24100MH1980PLC022746
2,237,L74900MH1948PLC006791
12,8,L72900MH2000PLC123841
17,527,L67120WB1980PLC032655
18,86,L63090MH1999PLC121803
12,8,L45400MH1992PLC070070
2,237,L67120WB1973PLC029135
27,210,L45201TN1995PLC033531
6,216,L27209DL1984PLC017816
16,519,L67120HR1980PLC039125
2,237,L51909WB1982PLC035283
16,315,L29120HR1992PLC031681
12,8,L65191TN1994PLC029226
17,370,L85110KA1995PLC018710
4,476,L36999HR1990PLC041175
13,183,L24110GJ1993PLC019941
13,393,L29210MH1974PLC017728
2,80,L67120WB1981PLC034243
2,237,L65910MH1984PLC031957
13,393,L34300HR1981PLC012151
1,360,L15491WB1900PLC000220
16,519,L65923MH1981PLC024912
21,384,L99999GJ1989PLC012213
13,393,L65990GJ1992PLC017460
21,546,U36999DL1989PLC035748
1,360,L36900GJ1991PLC015070
13,183,L99999MH1969PLC014465
16,519,L65910GJ1995PLC024869
16,519,L67120MP1992PLC007182
2,237,L24119WB1980PLC032916
21,384,L17115PB1987PLC007880
16,519,L51909WB1983PLC035874
2,237,L65191TN1993PLC025005
27,210,L70101TN1992PLC022299
21,384,U17115PB1977PLC003726
2,237,L67120DL1984PLC018196
16,519,L36900WB1998PLC087493
17,527,L51900MH1982PLC028972
6,216,L51900MH1983PLC029643
21,384,L17111PB1992PLC012022
1,185,L15315PN1991PLC061079
16,519,L65993TN1994PLC027783
13,37,L29130WB1995PLC073555
27,210,L65921WB1983PLC036522
13,183,L24114MH1954PLC009279
16,519,L55910GJ1992PLC018623
21,546,L65993DL1982PLC014583
2,237,L67120WB1981PLC033907
13,454,L21098GJ1983PLC006041
17,527,L74900MH1987PLC044592
2,237,L65993WB1981PLC034406
15,314,L74899DL1988PLC031510
13,183,L99999GJ1976PLC000005
16,519,L51909GJ1994PLC021482
2,237,L74999MH1985PLC035047
1,360,L17119DN1993PLC000054
13,444,L21010MH1992PLC069281
21,384,L51494MH2008PLC178384
21,384,U99999MH1979PLC021198
18,86,L27320MH1981PLC024747
6,216,L14103OR2000PLC006230
6,216,L31104KL1989PLC005478
6,216,L65910MH1987PLC044887
2,237,L18101DL1971PLC028813
16,519,L51219WB1983PLC036190
6,216,L27290MH1978PLC020644
13,444,U17120MH1991PLC062359
21,546,L17111TZ1990PLC002990
16,519,L65923MH1982PLC027263
11,202,U15421TN1960PLC004255
21,384,L17110GJ1962PLC001160
27,210,U45201GJ2008PLC055771
13,312,L24111WB1991PLC051709
1,360,L15312WB1973PLC028967
16,315,L17119GJ1931PLC000093
21,384,L17110GJ1986PLC008886
10,30,L24231TN1988PLC015882
16,519,U65999MH2008PLC184939
2,237,L74899DL1994PLC059009
16,519,L65993TN1995PLC031800
13,508,L26102DL1984PLC019542
21,384,L17120MH1993PLC073267
27,210,L45200MH1988PLC047617
13,625,L24222GJ1990PLC014789
16,519,L65990MH1994PLC077170
6,216,L45201GJ1994PLC021580
17,527,L51909DL1983PLC016039
21,546,L17299MH2006PLC163133
15,314,L14108MH1982PLC026396
13,506,L28920MH1986PLC039437
1,225,L15142TN1990PLC076202
6,216,L70109WB1986PLC040864
13,393,L27107RJ1992PLC006611
2,237,L67120WB1994PLC062159
21,384,L99999GJ1982PLC005253
2,237,L51900MH1985PLC036117
13,393,L51909WB1986PLC040201
13,444,L17110GJ1994PLC021391
21,384,L17226HR1984PLC033384
13,183,L24110MH1992PLC069615
13,364,L34101TN1948PLC000105
13,444,L18101TG1991PLC013270
6,216,L45200MH1993PLC071970
2,237,L51909DL1984PLC018813
1,360,U01110GJ1991PLC013690
2,237,L74899DL1948PLC005771
17,527,L51909DL1984PLC018814
1,225,L15143CT1991PLC006678
12,8,L99999DL1949PLC155544
11,202,L74999TN1991PLC020764
2,237,L65993DL1983PLC016453
13,444,L74950RJ1985PLC003275
5,198,U23209UP1991PLC013685
13,393,L27106PB1985PLC006498
13,37,L29130TN1974PLC006574
13,506,L99999MH1964PLC012835
13,183,L99999UP1986PLC007621
14,380,L92410GJ1995PLC028341
1,360,L01110TG1994PLC018562
1,452,L99999MH1968PLC013919
13,390,L17110GJ1995PLC027025
11,202,L15122WB2007PLC162762
11,202,L55101DL1980PLC011037
11,202,L55101DL2007PLC157518
1,326,L15209PB1994PLC014386
18,622,U60231GJ2006PLC048257
5,198,L23200GJ1992PLC017254
13,507,L24220MH1945PLC004598
13,444,L23209GJ1991PLC016666
9,573,L36910MH1995PLC086017
1,360,L24219WB1987PLC041876
1,102,L01404WB1994PLC061722
13,604,L24111WB1961PLC025067
18,86,L51100GJ1972PLC036313
12,8,L65900MH1984PLC091326
2,237,L65999WB1993PLC060493
12,8,L85110KA1992PLC013421
13,393,L27201WB1980PLC033118
12,8,L67120MH1985PLC086164
18,434,L74999KL1920PLC001389
13,379,L23101AS1963PLC001206
1,360,L01132AS1977PLC001685
13,183,L24116AS1971SGC001339
13,390,L26953AS1972PLC001381
1,360,L70109AS1947PLC009386
8,49,L15520WB1989PLC047211
2,237,L65993TN1982PLC009655
13,390,L26919WB1970PLC027835
16,519,L65993WB1977PLC031209
2,237,L74899DL1983PLC016526
13,390,L14101RJ1980PLC001989
13,393,L24224WB1948PLC017455
9,236,L14101RJ1945PLC000283
1,18,L99999MH1994PLC076236
13,379,L29309TG1991PLC013203
13,444,L25200GJ1996PLC029134
10,30,L24231KA1979PLC003563
12,8,
1,360,L51109WB1981PLC034037
14,445,L72900GJ1985PLC029849
13,639,L29299MH1989PLC054224
17,527,L74999PN1990PLC059566
6,216,U45200MH2011PLC215562
2,237,U65921PN1990PLC057955
12,8,L74140TG1992PLC014182
12,8,U70101MH2000PLC192613
17,527,L45200GJ1994PLC061328
2,237,L45400GJ1992PLC017520
6,216,L64200MH1984PLC031852
16,438,L51909DL1985PLC020372
21,384,
13,364,L35923HR1950PLC001614
21,546,L74140DL1989PLC131289
2,237,L65993WB1983PLC080793
16,519,L74899DL1994PLC063412
13,364,L54100GJ1986PLC016999
13,183,L99999GJ1975PLC002859
6,216,L99999MH1987PLC042719
21,384,L36934WB1977PLC031184
21,546,L17120DN1997PLC000196
16,176,L21000MH1974PLC017962
12,8,L99999MH1997PLC111637
10,30,L33125MH1989PLC051910
10,30,L24239TG1986PLC015190
15,261,L23101WB1993PLC060154
10,30,L24231TN1995PLC030363
12,8,L32200TN1994PLC026958
17,527,L67190GJ1984PLC006746
13,37,L27259GJ1978PLC003179
2,237,L51109WB1982PLC035088
13,37,L34300DL1975PLC007994
13,37,L34101DL1985PLC020030
13,37,L34300HP1985PLC006162
13,37,L34300PN1996PLC104510
13,506,L31506RJ1977PLC001738
13,379,U29290MH1988PLC046196
13,37,L35911GA1980PLC000400
13,37,L34103TN1949PLC055488
13,37,L51909KA1981PLC004198
13,37,L28932PN1990PLC016314
13,506,L31501RJ1985PLC003427
2,237,L51900MH1985PLC035433
16,315,U14299WB2009PLC133130
13,393,L51109KL1935PLC000024
17,527,L51102TN1941PLC000023
2,237,L51909WB1982PLC035439
2,237,L67120MP1993PLC007481
17,527,L51900MH1985PLC035210
13,379,L72200AP1990PLC011334
1,360,L16001AP1993PLC095778
21,50,L18209AP1976PLC002007
16,315,L24200MH1989PLC050913
17,527,L27204JH1993PLC005233
12,8,L51909GJ1995PLC025023
1,360,L32200MH1984PLC034190
13,639,L29196MH1999PLC118640
13,444,
10,30,L24110TG1993PLC016112
16,519,L17118UP1985PLC026582
16,519,L67190DL1991PLC045857
2,237,L51433WB1983PLC035882
2,237,L15142TN1986PLC012780
13,444,L25200GJ1992PLC017678
2,237,L65110GJ1993PLC020769
2,237,
21,546,L45200AP1983PLC082576
13,639,L72200DL1990PLC041275
2,237,L65990MH1982PLC027945
12,8,L85110TG1995PLC019446
13,379,L91110GJ1991PLC016185
13,444,L74999MH1984PLC032132
1,360,L99999DN1983PLC000045
2,237,L17120MH1985PLC034972
2,237,L65990MH1992PLC067908
1,225,L74999MH1993PLC190019
27,210,L45201GJ1982PLC005148
1,360,L01132AS1915PLC000200
13,61,L21021OR1986PLC001624
6,216,L74140WB1983PLC035772
12,8,L72200TG1994PLC018351 
2,237,L51900MH1995PLC090677
14,389,L72200MH1999PLC119177
2,237,L65993WB1991PLC050737
10,30,L24200MH1987PLC043427
2,237,L67120WB1972PLC028566
13,506,L29199GJ1995PLC027455
10,30,L24294TN1995PLC030698
17,527,L17111TZ1990PLC002611
14,354,L74899DL1993PLC051841
13,183,L24221MH1985PLC205386
13,390,L99999MH1948PLC006830
17,527,L51109WB1981PLC034234
1,360,L01132WB1918PLC002913
17,527,L18201MH1984PLC034070
2,237,L65910RJ1991PLC006391
2,237,L70109WB1988PLC044591
13,364,L65993PN2007PLC130076
7,487,L01110MH2006PLC161345
7,485,L31500MH1938PLC009887
2,237,L65910MH1987PLC042961
2,237,L65923PN2007PLC130075
2,237,L51900MH1985PLC036519
1,467,L15421MH1971PLC167716
1,467,L15420MH1931PLC001797
2,237,L35911PN1945PLC004656
16,519,L74899DL1984PLC018833
13,379,L27100MH1961PLC011936
2,237,L65990MH1971PLC015344
2,237,L65993WB1980PLC033102
10,30,L85110KA1987PLC008368
13,379,L51109WB1982PLC035179
16,519,L65910WB1988PLC045474
21,384,L17299WB1990PLC049886
1,225,L15143AP1994PLC017454
13,183,L24132MH1988PLC049387
8,49,L15520TN1983PLC055365
13,393,L31300TG1989PLC010761
11,202,L55101TN1989PLC046781
13,393,L74999AP1984PLC015354
14,389,L99999MH1994PLC082802
1,300,L72200AP1994PLC017071
1,360,L70102KA1974PLC002641
13,393,L27101OR1984PLC001354
2,237,L67120MH1982PLC027394
13,581,L99999MH1961PLC012185
13,393,L67120WB1982PLC034571
13,454,L21010MH1945PLC010337
13,393,L15492WB1924GOI004835
13,393,U28129WB1994PLC065794
2,237,L65999WB2001GOI093759
1,467,L15421WB1975PLC030118
18,622,L60210WB1993PTC059296
1,360,L15440TG1983PLC004363
16,519,L74899DL1995PLC065028
13,508,L01131UP1980PLC004984
2,237,L65910MH1983PLC030142
13,37,L51100GJ1961PLC001039
21,384,L51900MH1992PLC067013
2,237,L67120WB1973PLC028975
1,360,L51101KA1966PLC001643
12,8,L85110KA1986PLC008020
2,237,
2,237,U99999MH1906PLC000243
2,237,U99999MH1935PTC002399
27,210,L99999MH1986PLC040206
2,237,L67120WB1982PLC035123
16,315,L65993WB1914PLC002524
21,384,L17111TZ1989PLC002476
1,467,L15421TZ1983PLC001358
15,314,U25206GJ2008PLC053761
1,360,L15520WB1987PLC042982
21,384,L24302RJ1976PLC001684
17,527,U35100GJ2010PTC060280
13,390,L01403AS1999PLC005741
2,237,L01132WB1983PLC035629
13,183,L99999AP1961PLC000966
13,506,L31909GJ1961PLC001043
13,393,L27109GJ1991PLC016200
21,384,L99999GJ1958PLC000892
12,8,L72200TG1996PLC025855 
12,8,L29309AP1990PLC011721
13,183,L24120MH1990PLC058560
13,506,L51909DL1985PLC021396
1,18,L33112MH1943FLC003972
2,237,L65910TG1985PLC005750
21,50,L19201WB1931PLC007261
1,360,L01132WB1919PLC003227
12,8,L72200TG1995PLC021841
13,379,L52320MH1941PLC003494
17,527,U34300DL2002PTC114240
16,315,L67120WB1981PLC034045
1,18,L24210MH1958PLC011173
2,80,L51909WB1980PLC033130
13,506,U31300DL2008PLC179414
2,237,L65990MH2005PLC157586
13,506,L51395HP1985PLC012209
13,604,L27200MH1967PLC013737
1,225,L24231PB1976PLC003624
2,237,L51909WB1985PLC186698
10,30,L24230MH1990PLC059299
16,315,U70100DL2010PLC200749
13,444,L65991TN1936PLC001428
13,639,L21017PB1992PLC012574
13,369,L31200MH1990PLC057863
13,503,L32100MH1981PLC025033
16,314,L67120RJ1975PLC045573
13,393,L27106WB1981PLC033490
1,363,L51109WB1993PLC057984
1,467,L74999PN1957PLC133414
16,315,L65993WB1982PLC035311
1,168,U85110KA1989PLC009925
13,390,L26921GJ1985PLC008196
16,315,U17124RJ1996PTC011522
13,393,L02710KA1984PLC006093
16,522,L51909WB1983PLC036112
13,37,L51101KA1957PLC001283
13,379,L35202KA1964GOI001530
11,36,L55101UP1971PLC003480
2,237,L67120DL1947PLC116830
13,393,L70109WB1947PLC015087
21,384,L51909WB1983PLC036542
16,519,L24110MH1985PLC035396
17,527,L23200GJ1991PLC016272
13,507,L51434WB1923PLC004793
2,237,L65993DL1990PLC039397
10,30,L02423MP1993PLC007840
2,237,L67120MP1994PLC008882
13,393,L27109WB1928PLC006190
13,506,L29221TN1956PLC000204
11,202,L99999MH1943PLC040199
13,183,L02919MP1988PLC004706
17,527,L65993TZ1995PLC006687
2,237,U65191TN1994PLC029073
21,384,L17119GJ1992PLC018073
2,237,L65993PN2009PLC134021
5,71,L40108PN2000PLC015323
6,216,L45201RJ1995PLC010646
14,389,L65993DL1989PLC035572
6,216,L40106AP1985PLC005318
8,49,L15520DL1945PLC162518
13,604,L24111RJ1974PLC005789
13,604,L74899HR1972PLC006203
13,183,L24230MH1989PLC052574
6,216,L45201KL1976PLC002860
1,18,L24219AP1993PLC015963
13,393,L28931TN1982PLC009418
2,237,L51909WB1983PLC036392
13,393,L27100GJ1981PLC004718
21,546,L17110MH1995PLC093603
16,315,L17232WB1943PLC011543
1,225,L15411WB1947PLC014782
13,506,L27201AP1991PLC012449
16,519,L65910PN1994PLC138655
6,216,L65990MH1974PLC017178
2,237,L51909MH1984PLC217692
2,237,L51909WB1981PLC034200
17,527,U17120MH2005PLC156451
21,384,L17115PB1993PLC013930
6,216,U45201GJ2004PLC044481
27,210,L45201DL1976PLC008294
13,444,L27100MH1984PLC032637
13,183,L24100MH1985PLC036547
2,237,L67120DL1992PLC049038
13,506,L31300MH1946PLC005017
13,506,L32309KA1954GOI000787
13,604,L25209PN1961PLC012046
13,37,L29130HR1971PLC034365
13,506,L74899DL1964GOI004281
10,30,L24232UP1989GOI010542
2,237,L67120DL1984PLC018645
27,210,U61100GJ1945PLC000855
17,527,L74899DL1942PLC000644
5,198,L23220MH1952GOI008931
1,18,L24119DL1989PLC036264
13,37,L34300DL1986PLC023540
21,546,L17111TN1990PLC020072
18,434,L61100MH1976PLC019092
