Company_Id,SCompanyName,FCompanyName,GroupCStaus,ParentCompany,FormerlyCalled,Permissions1,UserStatus,Industry,Sector,SubSector,BusinessDesc,Brands,Country,RegionId_FK,IncorpYear,ListingStatus,StockBSE,StockNSE,IPODate,AddressHead,AddressLine2,City,State,Pincode,AddressCountry,Phone,Fax,Email,Website,LinkedIn,google_fetched_website,Contact Name,Designation,Auditor,rgthcr,Profile_Flag,Added_Date,DealUrl,competitorsListed,competitorsUnListed,otherCompareListed,otherCompareUnListed,FYCount,GFYCount,cvid,CIN,Total_Income_equal_OpIncome
,OCEANAA BIOTEK INDUSTRIES ,OCEANAA BIOTEK INDUSTRIES LIMITED,Standalone,,,Non-Transacted,0,1,360,,"Other Marine Aquaculture, N.E.C.",,113,,2005,Listed,,,,"No. 15, Zackaria Colony",,88,24,600028,113,+91 44 3024 1900,91 44 3024 1990,obil@oceanaabiotek.com,http://www.oceanaabiotek.com/investor.php,,,Vimalla Joseb,Managing Director,,,,,,,,,,,,,L15549TN2005PLC057919,
,ANISHA IMPEX ,ANISHA IMPEX LIMITED,Standalone,,,Non-Transacted,0,16,392,,"Wholesale Of Textiles, Fabrics, Yarn, Household Linen, Articles Of Clothing, Floor Coverings And Tapestry, Sports Clothes",,113,,1999,Listed,,,,"159, Gagan Vihar",,20,33,110051,113,91-011-22046604,91-011-22046604,ipo@anishaimpex.com,www.anishaimpex.com,,,Sunil Kumar Malik,Managing Director,,,,,,,,,,,,,L17101DL1999PLC102506,
,KAVITA FABRICS ,KAVITA FABRICS LIMITED,Standalone,,,Non-Transacted,0,21,605,,"Weaving, Manufacturing Of Man-Made Fiber And Man-Made Mixture Fabrics.",,113,,2005,Listed,,,,"105, Balaji Industrial",,32,7,395007,113,91-261-3018759,91-261-3018759,info@kavitafabrics.com,www.kavitafabrics.com,,,Harish Chandak,Managing Director,,,,,,,,,,,,,L17110GJ2005PLC046929,
,ANUBHAV INDUSTRIAL RESOURCES ,ANUBHAV INDUSTRIAL RESOURCES LIMITED,Standalone,,,Non-Transacted,0,27,571,,Real Estate Activities With Own Or Leased Property,,113,,1985,Listed,,,,"04, Prathmesh Leela Chs Ltd",,67,15,400091,113,,,anubhavindustrial@gmail.com/anubhavindustrial@yahoo.com,www.anubhavindustrialresourceslimited.com,,,Vidya Mahesh Chalke,Managing Director,,,,,,,,,,,,,L17117CH1985PLC023819,
,GLOBUS POWER GENERATION ,GLOBUS POWER GENERATION LIMITED,Standalone,,,Non-Transacted,0,6,223,,Construction Of Buildings,,113,,1985,Listed,,,,"D-199, Pushpak Marg",,85,22,302021,113,,,globuscdl@gmail.com,www.gpgl.in,,,Mr. Narendra Kumbhat,Director,,,,,,,,,,,,,L17117DL1985PLC191853,
,R&B DENIMS ,R&B DENIMS LIMITED,Standalone,,,Non-Transacted,0,21,605,,"Spinning, Weaving And Finishing Of Textiles",,113,,2010,Listed,,,,Block No. 467,,32,7,394315,113,91-9601281648,91-261-2321672,compliance@rnbdenims.com,www.rnbdenims.com,,,Rajkumar Borana,Managing Director,,,,,,,,,,,,,L17120GJ2010PLC062949,
,DIGJAM ,DIGJAM LIMITED,Standalone,,,Non-Transacted,0,21,605,,"Weaving, Manufacturing Of Man-Made Fiber And Man-Made Mixture Fabrics.",,113,,2015,Listed,,,,Aerodrome Road,,140,7,361006,113,0288 2712 972-73,0288 2712 991,cosec@digjam.co.in,www.digjam.co.in,,,Chandrasekharan Bhaskar,Managing Director,,,,,,,,,,,,,L17123GJ2015PLC083569,
,GOLDEN CARPETS ,GOLDEN CARPETS LIMITED,Standalone,,,Non-Transacted,0,13,61,,Manufacture Of Carpets And Rugs,,113,,1993,Listed,,,,8 - 2 - 596 / 5 / B / 1 / A,,3,1,500034,113,040-66771111,040-23351576,goldencarpets@vsnl.net,www.goldencarpets.com,,,Krishna Naik,Managing Director,,,,,,,,,,,,,L17220TG1993PLC016672,
,GOLDWON TEXTILES ,GOLDWON TEXTILES LIMITED,Standalone,,,Non-Transacted,0,21,546,,Manufacture Of Other Knitted And Crocheted Apparel Including Hosiery,,113,,1993,Listed,,,,H No 6-2-966/5/1,,3,1,500004,113,040- 3405248 3417800   ,040- 6625022  ,crcoca@gmail.com,,,,S S R Kishen,Managing Director,,,,,,,,,,,,,L18100TG1993PLC015718,
,PDS MULTINATIONAL FASHIONS ,PDS MULTINATIONAL FASHIONS LIMITED,Standalone,,,Non-Transacted,0,21,605,,"Spinning, Weaving And Finishing Of Textiles",,113,,2011,Listed,,,,"No. 758 & 759, 2nd Floor",,43,12,560102,113,080-67653000,,investors@pdsmultinational.com,www.pdsmultinational.com,,,Payel Seth,Managing Director,,,,,,,,,,,,,L18101KA2011PLC094125,
,UNITED POLYFAB GUJARAT ,UNITED POLYFAB GUJARAT LIMITED,Standalone,,,Non-Transacted,0,21,605,,Weaving Of Textiles,,113,,2010,Listed,,,,"Survey No. 238, 239, Shahwadi",,23,7,382405,113,9925232824,,info@unitedpolyfab.com,www.upgl.in,,,Gagan Mittal,Managing Director,,,,,,,,,,,,,L18109GJ2010PLC062928,
,MOMAI APPARELS ,MOMAI APPARELS LIMITED,Standalone,,,Non-Transacted,0,21,384,,Manufacture Of All Types Of Textile Garments And Clothing Accessories,,113,,2010,Listed,,,,"Shop No. 305-309, 3rd Floor",,67,15,400028,113,91-022- 24331551,91-022-24331551,investor@ momaiapparels.com,www.momaiapparels.com,,,Harshad Thakkar,Managing Director,,,,,,,,,,,,,L18109MH2010PLC199178,
,WOMENS NEXT LOUNGERIES ,WOMENS NEXT LOUNGERIES LIMITED,Standalone,,,Non-Transacted,0,21,384,,Manufacture Of All Types Of Textile Garments And Clothing Accessories,,113,,2010,Listed,,,,"101-105, Indian Complex",,471,15,421329,113,02522-344073,,info@womensnext.in,www.womensnext.in,,,Bhavesh Bhanushali,Managing Director,,,,,,,,,,,,,L18204MH2010PLC211237,
,BULLISH BONDS AND HOLDINGS ,BULLISH BONDS AND HOLDINGS LIMITED,Standalone,,,Non-Transacted,0,2,237,,"Financial Service Activities, Except Insurance And Pension Funding",,113,,1981,Listed,,,,"122, Smbose R D",,109,28,700109,113,91 22 6552 2207,, bullishbonds@gmail.com bullishbonds@gmail.com bullishbonds@gmail.com bullishbonds@gmail.com bullishbonds@gmail.com bullishbonds@gmail.com bullishbonds@gmail.com bullishbonds@gmail.com bullishbonds@gmail.com bullishbonds@gmail.com bullishbonds@gmail.com bullishbonds@gmail.com bullishbonds@gmail.com bullishbonds@gmail.com bullishbonds@gmail.com bullishbonds@gmail.com bullishbonds@gmail.com bullishbonds@gmail.com bullishbonds@gmail.com bullishbonds@gmail.com,http://ww2.bullishbonds.com/?folio=7POYGN0G2,,,Mitesh Hasmukhlal Dani,Managing Director,,,,,,,,,,,,,L19202WB1981PLC034019,
,BALKRISHNA PAPER MILLS ,BALKRISHNA PAPER MILLS LIMITED,Standalone,,,Non-Transacted,0,13,454,,Manufacture Of Paper And Paper Products,,113,,2013,Listed,,,,"A/7, Trade World, Kamala City",,67,15,400013,113,+91-22-6120 7900,+91-22-6120 7999,rajesh.solanki@bpml.in,www.npml.in,,,Anurag P Poddar,Managing Director,,,,,,,,,,,,,L21098MH2013PLC244963,
,GENUS PAPER & BOARDS ,GENUS PAPER & BOARDS LIMITED,Standalone,,,Non-Transacted,0,13,454,,Manufacture Of Paper And Paper Products,,113,,2012,Listed,,,,Village Aghwanpur,,372,27,244001,113,0591-2511171,0591-2511242,cs.ankitagg@gmail.com,www.genuspaper.com,,,Kailash Chandra Agarwal,Managing Director,,,,,,,,,,,,,L21098UP2012PLC048300,
,CORAL NEWSPRINTS ,CORAL NEWSPRINTS LIMITED,Standalone,,,Non-Transacted,0,13,454,,Manufacture Of News Print,,113,,1992,Listed,,,,A - 138,,20,33,110092,113,011 - 22010998 ,011 - 22429586,cnpl_5000@rediffmail.com,www.coralnewsprintslimited.com,,,Chetan P S Chauhan,Chairman and CFO,,,,,,,,,,,,,L22219DL1992PLC048398,
,GALA PRINT CITY ,GALA PRINT CITY LIMITED,Standalone,,,Non-Transacted,0,13,450,,Printing,,113,,2010,Listed,,,,"B-1, Laxmi Com. Co. Op. Estate",,23,7,380021,113,,,galaprintcity@gmail.com,,,,Vishal Mulchandbhai Gala,Managing Director,,,,,,,,,,,,,L22219GJ2010PLC063243,
,GULF OIL LUBRICANTS INDIA ,GULF OIL LUBRICANTS INDIA LIMITED,Standalone,,,Non-Transacted,0,5,198,,"Production Of Liquid And Gaseous Fuels, Illuminating Oils, Lubricating Oils Or Greases Or Other Products From Crude Petroleum Or Bituminous Minerals",,113,,2008,Listed,,,,"In Centre, 49/50",,67,15,400093,113,,,secretarial@gulfoil.co.in,www.gulfoilindia.com,,,Ravi Chawla,Managing Director,,,,,,,,,,,,,L23203MH2008PLC267060,
,BOMBAY WIRE ROPES ,BOMBAY WIRE ROPES LIMITED,Standalone,,,Non-Transacted,0,13,369,,Manufacture Of Metal Cable And Other Articles Made Of Wire (Except For Electric Transmission),,113,,1961,Listed,,,,"401 / 405, Jolly Bhavan No. 1",,67,15,400020,113,022- 22003231 22005056 22004325  ,022- 22060745  ,shareholder@bombaywireropes.com,NA,,,M.L.Mittal,Managing Director,,,,,,,,,,,,,L24110MH1961PLC011922,
,CRAZY INFOTECH ,CRAZY INFOTECH LIMITED,Standalone,,,Non-Transacted,0,16,392,,Wholesale Of Computers And Computer Peripheral Equipment,,113,,1992,Listed,,,,"No. 3, 2nd Floor",,88,24,600033,113,+91 44-2471 0737,,crazyinfotech@gmail.com,www.crazyinfotech.com,,,N Aravind,Managing Director,,,,,,,,,,,,,L24119CT1992PLC007308,
,HPC BIOSCIENCES ,HPC BIOSCIENCES LIMITED,Standalone,,,Non-Transacted,0,1,360,,Growing Of Non-Perennial Crops,,113,,2002,Listed,,,,Office No.109. First Floor,,20,33,110092,113,,,hpcbiosci@yahoo.com,www.hpcbiosciences.com,,,Tarun Chauhan,Managing Director,,,,,,,,,,,,,L24119DL2002PLC114026,
,YASH CHEMEX ,YASH CHEMEX LIMITED,Standalone,,,Non-Transacted,0,16,392,,"Wholesale Of Industrial Chemicals,",,113,,2006,Listed,,,,"411, Sigma Icon -1",,23,7,380015,113,079-26730257/58,079-26730258,ipo@yashchemex.com,www.yashchemex.com,,,Pritesh Shah,Managing Director,,,,,,,,,,,,,L24119GJ2006PLC048385,
,SHALIMAR PAINTS ,SHALIMAR PAINTS LIMITED,Standalone,,,Non-Transacted,0,13,507,,"Manufacture Of Paints And Varnishes, Enamels Or Lacquers",,113,,1902,Listed,,,,4th Floor,,37,8,122001,113,0124-4616600,0124-4616659,hwhsec@shalimarpaints.com,www.shalimarpaints.com,,,Surender Kumar,Managing Director,,,,,,,,,,,,,L24222HR1902PLC001540,
,FREDUN PHARMACEUTICALS ,FREDUN PHARMACEUTICALS LIMITED,Standalone,,,Non-Transacted,0,10,30,,"Manufacture Of Medicinal Substances Used In The Manufacture Of Pharmaceuticals: Antibiotics, Endocrine Products, Basic Vitamins; Opium Derivatives; Sulpha Drugs; Serums And Plasmas; Salicylic Acid, Its Salts And Esters; Glycosides And Vegetable Alkaloids;",,113,,1987,Listed,,,,"26, Manoj Industrial Premises",,67,15,400031,113,+91-22-40318111,+91-22-24146074,business@fredungroup.com,www.fredungroup.com,,,Fredun N Medhora,Managing Director,,,,,,,,,,,,,L24239MH1987PLC043662,
,TRIVIKRAMA INDUSTRIES ,TRIVIKRAMA INDUSTRIES LIMITED,Standalone,,,Non-Transacted,0,17,525,,Retail Sale Of Other Goods In Specialized Stores,,113,,1984,Listed,,,,"P2, 2nd Cross Street",,88,24,600035,113,044-42114444,,carewellindustrieslimited@gmail.com,www.carewellindustriesltd.com,,,M Soundararajan,Managing Director,,,,,,,,,,,,,L24241TN1984PLC096136,
,KHANDELWAL EXTRACTIONS ,KHANDELWAL EXTRACTIONS LIMITED,Standalone,,,Non-Transacted,0,1,225,,"Manufacture  Of Oil  Cakes  &  Meals  Incl.  Residual Products,  E.G. Oleostearin,Palmstearin",,113,,1981,Listed,,,,Kesahrwani Bhawan,,101,27,208001,113,0512- 2352669 / 2313195/ 2319610/ 2363856 ,0512- 2318706  ,kelknp@yahoo.com,www.khandelwalextractions.com,,,Dinesh Khandelwal,CFO,,,,,,,,,,,,,L24241UP1981PLC005282,
,EMAMI ,EMAMI LIMITED,Standalone,,,Non-Transacted,0,10,600,,Manufacture Of Ayurvedic' Or Unani' Pharmaceutical Preparation,,113,,1995,Listed,,,,"Emami Tower, 687",,109,28,700107,113,+91 - 33 - 66136264,+91 - 33 - 66136600,contact@emamigroup.com,www.emamigroup.com,,,Sushil K Goenka,Managing Director,,,,,,,,,,,,,L24246WB1995PLC073513,
,AHIMSA INDUSTRIES ,AHIMSA INDUSTRIES LIMITED,Standalone,,,Non-Transacted,0,13,379,,Manufacture Of Moulded Industrial Accessories Of Plastics [Including Electrical Insulating Fittings Of Plastics],,113,,1996,Listed,,,,"102. Iscon Elegance, Nr  Shapath-5",,23,7,380051,113,+91 79 27445901 / 02,,legal@greenpet.in / info@ahimsaind.com,www.greenpet.in,,,Ashutosh Damubhai Gandhi,Managing Director,,,,,,,,,,,,,L25200GJ1996PLC028679,
,POLYMAC THERMOFORMERS ,POLYMAC THERMOFORMERS LIMITED,Standalone,,,Non-Transacted,0,13,444,,Manufacture Of Plastics Products,,113,,1999,Listed,,,,"29a, Weston Street, 3rd Floor",,109,28,700012,113,91-033-40041400,,polymacthermo@gmail.com,www.polymacthermoformers.com,,,JITENDRA KUMAR MODI,CFO,,,,,,,,,,,,,L25201WB1999PLC090774,
,COMMERCIAL SYN BAGS ,COMMERCIAL SYN BAGS LIMITED,Standalone,,,Non-Transacted,0,13,94,,"Manufacture Of Plastic Articles For The Packing Of Goods (Plastic Bags, Sacks, Containers, Boxes, Cases, Carboys, Bottles Etc.)",,113,,1984,Listed,,,,"Commercial Hoise, 3-4, Jaora Compound",,60,14,452001,113,0731- 4279525/26,0731-2704210,investors@comsyn.com,www.comsyn.com,,,Anil Choudhary,Managing Director,,,,,,,,,,,,,L25202MP1984PLC002669,
,FLEXITUFF INTERNATIONAL ,FLEXITUFF INTERNATIONAL LIMITED,Standalone,,,Non-Transacted,0,21,605,,Manufacture Of Other Textiles,,113,,1993,Listed,,,,C-41-50,,405,14,454775,113,07292-420200 ,07292-401684,investors@flexituff.com,www.flexituff.com,,,Mr. Mahesh Sharma,CEO,,,,,,,,,,,,,L25202WB1993PLC111382,
,BANSAL ROOFING PRODUCTS ,BANSAL ROOFING PRODUCTS LIMITED,Standalone,,,Non-Transacted,0,13,37,,"Forging, Pressing, Stamping And Roll-Forming Of Metal; Powder Metallurgy",,113,,2008,Listed,,,,"3/2, Labdhi Industrial Estate",,33,7,390004,113,91-265-2580178,91-265-2581365,cs@bansalroofing.com,www.bansalroofing.com,,,Kaushalkumar S Gupta,Managing Director,,,,,,,,,,,,,L25206GJ2008PLC053761,
,CAPTAIN POLYPLAST ,CAPTAIN POLYPLAST LIMITED,Standalone,,,Non-Transacted,0,13,444,,Manufacture Of Other Plastics Products N.E.C.,,113,,1997,Listed,,,,"Upper Level - 25 , Royal Complex",,30,7,360001,113,+91- 2821-226361,+91 -2827-252056,account@captainpolyplast.in,www.captainpolyplast.com,,,Ramesh D Khichadia,Managing Director,,,,,,,,,,,,,L25209GJ1997PLC031985,
,ORIENT CEMENT ,ORIENT CEMENT LIMITED,Standalone,,,Non-Transacted,0,13,390,,Manufacture Of Clinkers And Cement,,113,,2011,Listed,,,,"Unit- V I I I, Plot No.7",,75,20,751012,113,,,deepanjali.g@orientcement.com,www.orientcement.com,,,Desh Deepak Khetrapal,Managing Director,,,,,,,,,,,,,L26940OR2011PLC013933,
,ANJANI PORTLAND CEMENT ,ANJANI PORTLAND CEMENT LIMITED,Standalone,,,Non-Transacted,0,13,390,,"Manufacture Of Portland Cement, Aluminous Cement, Slag Cement And Similar Hydraulic Cement",,113,,1983,Listed,,,,"306a, The Capital, 3rd Floor",,67,15,400051,113,022 4023 9909,,prajendrababu@rediffmail.com,www.anjanicement.com,,,A Subramanian,Managing Director,,,,,,,,,,,,,L26942TG1983PLC004323,
,PERMANENT MAGNETS ,PERMANENT MAGNETS LIMITED,Standalone,,,Non-Transacted,0,13,506,,Manufacture Of Other Electrical Equipment,,113,,1960,Listed,,,,"Harsh Avenue, 302, 3rd Floor",,112,31,396230,113,     ,,bdshah@pmlindia.com,www.pmlindia.com,,,Sharad Taparia,Managing Director,,,,,,,,,,,,,L27100GJ1960PLC001002,
,MANAKSIA ALUMINIUM COMPANY ,MANAKSIA ALUMINIUM COMPANY LIMITED,Standalone,,,Non-Transacted,0,13,393,,Manufacture Of Aluminium From Alumina And By Other Methods And Products Of Aluminium And Alloys,,113,,2010,Listed,,,,Bikaner Building,,109,28,700001,113,,,rkbanthia@manaksia.com,,,,Sunil Kumar Agrawal,Managing Director,,,,,,,,,,,,,L27100WB2010PLC144405,
,MANAKSIA INDUSTRIES ,MANAKSIA INDUSTRIES LIMITED,Standalone,,,Non-Transacted,0,13,393,,Manufacture Of Other Fabricated Metal Products N.E.C.,,113,,2011,Listed,,,,"Bikaner Bulding ,  8 / 1 ",,109,28,700001,113,033-22310050,033-22300336,investorrelmil@manaksia.com,www.manaksia.com,,,Basant Kumar Agrawal,Managing Director,,,,,,,,,,,,,L27100WB2011PLC161235,
,AANCHAL ISPAT ,AANCHAL ISPAT LIMITED,Standalone,,,Non-Transacted,0,13,386,,"Manufacture Of Tubes, Pipes And Hollow Profiles And Of Tube Or Pipe Fittings Of Cast-Iron/Cast-Steel",,113,,1996,Listed,,,,Mouza-chamrail,,253,28,711114,113,03212 246 121,03212 246 069,cs@aanchalispat.com,www.aanchalispat.com,,,Mukesh Goel,Managing Director,,,,,,,,,,,,,L27106WB1996PLC076866,
,ACE MEN ENGG WORKS ,ACE MEN ENGG WORKS LIMITED,Standalone,,,Non-Transacted,0,16,392,,Wholesale Of Other Clothing Items N.E.C.,,113,,1980,Listed,,,,"19 B, B B Ganguly Street  ",,109,28,700012,113,033-32639609,,info@acumenengg.co.in,www.acumenengg.co.in,,,Rajesh Sharma,Managing Director,,,,,,,,,,,,,L27109WB1980PLC033134,
,TAMILNADU STEEL TUBES ,TAMILNADU STEEL TUBES LIMITED,Standalone,,,Non-Transacted,0,13,386,,Manufacture Of Tube And Tube Fittings Of Basic Iron And Steel,,113,,1979,Listed,,,,Mercury Apartments,,88,24,600008,113,044-28555653 / 28555673,044-28555643,tnstl@vsnl.net / tnt.share@yahoo.in / contact@tamilnadusteeltubesltd.com,www.tamilnadusteeltubesltd.com,,,Rakesh Goyal,Managing Director,,,,,,,,,,,,,L27110TN1979PLC007887,
,BHARAT WIRE ROPES ,BHARAT WIRE ROPES LIMITED,Standalone,,,Non-Transacted,0,13,369,,Manufacture Of Metal Cable And Other Articles Made Of Wire (Except For Electric Transmission),,113,,1986,Listed,,,,"Plot No. 1&4, Atgaon Industrial Complex",,74,15,421601,113,+91 2527 240123 / 124 / 197,+91 2527 240196,investors@bharatwireropes.com,www.bharatwireropes.com,,,Murarilal Mittal,Managing Director,,,,,,,,,,,,,L27200MH1986PLC040468,
,JINDAL STAINLESS (HISAR) ,JINDAL STAINLESS (HISAR) LIMITED,Standalone,,,Non-Transacted,0,13,393,,Manufacture Of Basic Iron And Steel,,113,,2013,Listed,,,,O. P. Jindal Marg,,261,8,125005,113,01662 - 222471-83,"01662 - 220476, 220499",info.jshl@jindalstainless.com/investorcare.jshl@jindalstainless.com,www.jshlstainless.com,,,Mr. Rajiv Rajvanshi,Managing Director,,,,,,,,,,,,,L27205HR2013PLC049963,
,MIRCH TECHNOLOGIES (INDIA) ,MIRCH TECHNOLOGIES (INDIA) LIMITED,Standalone,,,Non-Transacted,0,13,379,,"Manufacture Of Other General Purpose Machinery N.E.C. ( Fans Intended For Industrial Applications, Exhaust Hoods For Commercial, Laboratory Or Industrial Use; Calendering Or Other Rolling Machines Other Than For Metals Or Glass; Gaskets And Similar Joints",,113,,1972,Listed,,,,"B-701, 7th Floor",,67,15,400013,113,91-22-32469466,91-22-23012517, uvwtskl@gmail.com uvwtskl@gmail.com uvwtskl@gmail.com uvwtskl@gmail.com uvwtskl@gmail.com uvwtskl@gmail.com uvwtskl@gmail.com uvwtskl@gmail.com uvwtskl@gmail.com uvwtskl@gmail.com uvwtskl@gmail.com uvwtskl@gmail.com uvwtskl@gmail.com uvwtskl@gmail.com uvwtskl@gmail.com uvwtskl@gmail.com uvwtskl@gmail.com uvwtskl@gmail.com,www.mirchtechnologies.com,,,Rupesh Anil Kadam,CFO,,,,,,,,,,,,,L27290MH1972PLC016127,
