Company_Id,SCompanyName,FCompanyName,GroupCStaus,ParentCompany,FormerlyCalled,Permissions1,UserStatus,Industry,Sector,SubSector,BusinessDesc,Brands,Country,RegionId_FK,IncorpYear,ListingStatus,StockBSE,StockNSE,IPODate,AddressHead,AddressLine2,City,State,Pincode,AddressCountry,Phone,Fax,Email,Website,LinkedIn,google_fetched_website,GroupCStaus,ParentCompany,FormerlyCalled,Permissions1,UserStatus,Industry,Sector,SubSector,BusinessDesc,Brands,Country,RegionId_FK,IncorpYear,ListingStatus,StockBSE,StockNSE,IPODate,AddressHead,AddressLine2,City,State,Pincode,AddressCountry,Phone,Fax,Email,Website,LinkedIn,google_fetched_website,Contact Name,Designation,,rgthcr,Profile_Flag,Added_Date,DealUrl,competitorsListed,competitorsUnListed,otherCompareListed,otherCompareUnListed,FYCount,GFYCount,cvid,CIN,Total_Income_equal_OpIncome
,ARUNA HOTELS ,ARUNA HOTELS LIMITED,Standalone,,,Non-Transacted,0,,,,"Hotels And Motels, Inns, Resorts Providing Short Term Lodging Facilities; Includes Accommodation In House Boats",,113,,1981,Listed,,,,"316, Neelgiri Industrial Estate",,67,15,400015,113,,,sgel_1232006@rediffmail.com,,,,Standalone,,,Non-Transacted,0,11,36,,"Hotels And Motels, Inns, Resorts Providing Short Term Lodging Facilities; Includes Accommodation In House Boats",,113,,1960,Listed,,,,Aruna Centre,,88,24,600034,113,044- 28259090    ,044- 28282608  ,directorsaruna@gmail.com,www.arunahotelslimited.com,,,Vaithyalingam Anbalagan,Managing Director,,,,,,,,,,,,,L15421TN1960PLC004255,
,SHREE HANUMAN SUGAR & INDUSTRIES ,SHREE HANUMAN SUGAR & INDUSTRIES LIMITED,Standalone,,,Non-Transacted,0,,,,Manufacture Of Sugar,,113,,2002,Listed,,,,"O-116, Ist Floor",,37,8,122002,113,+91 124 4581 700,+91 124 4581 706,complianceofficer@a2zemail.com,www.a2zgroup.co.in,,,Standalone,,,Non-Transacted,0,1,467,,Manufacture Of Sugar,,113,,1932,Listed,,,,Chandra Kunj ,,109,28,700071,113,+91-033-22821169-1170,+91-033-22821187/1188,fpo@hanumansugar.com,www.hanumansugar.com,,,Bimal Kumar Nopany,Managing Director,,,,,,,,,,,,,L15432WB1932PLC007276,
,JAMES WARREN TEA ,JAMES WARREN TEA LIMITED,Standalone,,,Non-Transacted,0,,,,Growing Of Tea,,113,,1995,Listed,,,,"4th Floor, Office No. 4019",,32,7,390002,113,,,aadhaarviltd@gmail.com,www.aadhaarltd.com,,,Standalone,,,Non-Transacted,0,1,360,,Growing Of Tea,,113,,2009,Listed,,,,Dhoedaam Tea Estate,,418,3,786150,113,91 – 03759 247922,91 – 03759 247922,investors@jameswarrentea.com/ corporate@jameswarrentea.com;,www.jameswarrentea.com,,,MR. ANIL KUMAR RUIA,Chairman,,,,,,,,,,,,,L15491AS2009PLC009345,
,DHUNSERI TEA & INDUSTRIES ,DHUNSERI TEA & INDUSTRIES LIMITED,Standalone,,,Non-Transacted,0,,,,Growing Of Tea,,113,,1994,Listed,,,,"320/7, Siddhivinayak Society",,67,15,400075,113,022 25012768,,aadi.industries@hotmail.com,www.aadiindustries.com,,,Standalone,,,Non-Transacted,0,1,360,,Growing Of Tea,,113,,1997,Listed,,,,Dhunseri House 4 A,,109,28,700020,113,91-33-2280 1950,91-33 –2287 8350 / 9274,mail@dhunseritea.com,www.dhunseritea.com,,,C K Dhanuka,Managing Director,,,,,,,,,,,,,L15500WB1997PLC085661,
,MANPASAND BEVERAGES ,MANPASAND BEVERAGES LIMITED,Standalone,,,Non-Transacted,0,,,,"Manufacture Of Fruit Or Vegetable Juices And Their Concentrates, Squashes And Powder",,113,,1977,Listed,,,,"Shop No. 130, 1st Floor, B-wing ",,74,15,401105,113,,,aafloat2011@gmail.com,,,,Standalone,,,Non-Transacted,0,8,49,,"Manufacture Of Fruit Or Vegetable Juices And Their Concentrates, Squashes And Powder",,113,,2010,Listed,,,,"E – 62, Manjusar G I D C",,33,7,391775,113,02667- 264-663/ 264 733,02667-264-660,info@manpasand.co.in,www.manpasand.co.in,,,Dhirendra Singh,Managing Director,,,,,,,,,,,,,L15549GJ2010PLC063283,
,OCEANAA BIOTEK INDUSTRIES ,OCEANAA BIOTEK INDUSTRIES LIMITED,Standalone,,,Non-Transacted,0,,,,"Other Marine Aquaculture, N.E.C.",,113,,1991,Listed,,,,"Room No 2, 3rd Floor, 5/7",,67,15,400023,113,022 6157 2000,,aagamcltd@gmail.com,www.agamcap.com,,,Standalone,,,Non-Transacted,0,1,360,,"Other Marine Aquaculture, N.E.C.",,113,,2005,Listed,,,,"No. 15, Zackaria Colony",,88,24,600028,113,+91 44 3024 1900,91 44 3024 1990,obil@oceanaabiotek.com,http://www.oceanaabiotek.com/investor.php,,,Vimalla Joseb,Managing Director,,,,,,,,,,,,,L15549TN2005PLC057919,
,ANISHA IMPEX ,ANISHA IMPEX LIMITED,Standalone,,,Non-Transacted,0,,,,"Wholesale Of Textiles, Fabrics, Yarn, Household Linen, Articles Of Clothing, Floor Coverings And Tapestry, Sports Clothes",,113,,1992,Listed,,,,82,,67,15,400069,113,022- 28376286 28387083   ,022- 28356914  ,--,NA,,,Standalone,,,Non-Transacted,0,16,392,,"Wholesale Of Textiles, Fabrics, Yarn, Household Linen, Articles Of Clothing, Floor Coverings And Tapestry, Sports Clothes",,113,,1999,Listed,,,,"159, Gagan Vihar",,20,33,110051,113,91-011-22046604,91-011-22046604,ipo@anishaimpex.com,www.anishaimpex.com,,,Sunil Kumar Malik,Managing Director,,,,,,,,,,,,,L17101DL1999PLC102506,
,KAVITA FABRICS ,KAVITA FABRICS LIMITED,Standalone,,,Non-Transacted,0,,,,"Weaving, Manufacturing Of Man-Made Fiber And Man-Made Mixture Fabrics.",,113,,2013,Listed,,,,6th Floor,,3,1,500003,113,91-40-30512700,91 -40-30512725/27815135/305 12799,info@aanndalakshmi.com,www.aanndalakshmi.com,,,Standalone,,,Non-Transacted,0,21,605,,"Weaving, Manufacturing Of Man-Made Fiber And Man-Made Mixture Fabrics.",,113,,2005,Listed,,,,"105, Balaji Industrial",,32,7,395007,113,91-261-3018759,91-261-3018759,info@kavitafabrics.com,www.kavitafabrics.com,,,Harish Chandak,Managing Director,,,,,,,,,,,,,L17110GJ2005PLC046929,
,ANUBHAV INDUSTRIAL RESOURCES ,ANUBHAV INDUSTRIAL RESOURCES LIMITED,Standalone,,,Non-Transacted,0,,,,Real Estate Activities With Own Or Leased Property,,113,,1996,Listed,,,,"J.l. No. 5, National Highway",,253,28,711114,113,+91 3212 246 121,+91 3212 246 069,ipo@aanchalispat.com,www.aanchalispat.com,,,Standalone,,,Non-Transacted,0,27,571,,Real Estate Activities With Own Or Leased Property,,113,,1985,Listed,,,,"04, Prathmesh Leela Chs Ltd",,67,15,400091,113,,,anubhavindustrial@gmail.com/anubhavindustrial@yahoo.com,www.anubhavindustrialresourceslimited.com,,,Vidya Mahesh Chalke,Managing Director,,,,,,,,,,,,,L17117CH1985PLC023819,
,GLOBUS POWER GENERATION ,GLOBUS POWER GENERATION LIMITED,Standalone,,,Non-Transacted,0,,,,Construction Of Buildings,,113,,1989,Listed,,,,B.T.M Layout,,43,12,560076,113,04344- 276273 276275   ,04344- 276933  ,cash@aankitgranite.com,www.aankitstone.com,,,Standalone,,,Non-Transacted,0,6,223,,Construction Of Buildings,,113,,1985,Listed,,,,"D-199, Pushpak Marg",,85,22,302021,113,,,globuscdl@gmail.com,www.gpgl.in,,,Mr. Narendra Kumbhat,Director,,,,,,,,,,,,,L17117DL1985PLC191853,
,R&B DENIMS ,R&B DENIMS LIMITED,Standalone,,,Non-Transacted,0,,,,"Spinning, Weaving And Finishing Of Textiles",,113,,1982,Listed,,,,"23 A , N.s. Road , 7th Floor",,109,28,700001,113,033-40675228,,investors.commercial@rediffmail.com,www.aarccl.in,,,Standalone,,,Non-Transacted,0,21,605,,"Spinning, Weaving And Finishing Of Textiles",,113,,2010,Listed,,,,Block No. 467,,32,7,394315,113,91-9601281648,91-261-2321672,compliance@rnbdenims.com,www.rnbdenims.com,,,Rajkumar Borana,Managing Director,,,,,,,,,,,,,L17120GJ2010PLC062949,
,DIGJAM ,DIGJAM LIMITED,Standalone,,,Non-Transacted,0,,,,"Weaving, Manufacturing Of Man-Made Fiber And Man-Made Mixture Fabrics.",,113,,1990,Listed,,,,"209, 2nd Floor, 980-81/1",,20,33,110006,113,91-011-25780259,,industriesaarkay@yahoo.co.in,,,,Standalone,,,Non-Transacted,0,21,605,,"Weaving, Manufacturing Of Man-Made Fiber And Man-Made Mixture Fabrics.",,113,,2015,Listed,,,,Aerodrome Road,,140,7,361006,113,0288 2712 972-73,0288 2712 991,cosec@digjam.co.in,www.digjam.co.in,,,Chandrasekharan Bhaskar,Managing Director,,,,,,,,,,,,,L17123GJ2015PLC083569,
,GOLDEN CARPETS ,GOLDEN CARPETS LIMITED,Standalone,,,Non-Transacted,0,,,,Manufacture Of Carpets And Rugs,,113,,1983,Listed,,,,40/41 Community Centre,,20,33,110065,113,91-011-26832155,,bsingh-gpi@modi.com,,,,Standalone,,,Non-Transacted,0,13,61,,Manufacture Of Carpets And Rugs,,113,,1993,Listed,,,,8 - 2 - 596 / 5 / B / 1 / A,,3,1,500034,113,040-66771111,040-23351576,goldencarpets@vsnl.net,www.goldencarpets.com,,,Krishna Naik,Managing Director,,,,,,,,,,,,,L17220TG1993PLC016672,
,GOLDWON TEXTILES ,GOLDWON TEXTILES LIMITED,Standalone,,,Non-Transacted,0,,,,Manufacture Of Other Knitted And Crocheted Apparel Including Hosiery,,113,,1993,Listed,,,,"401, 402, Earth Complex",,33,7,390015,113,0265-233 3677 / 233 6277,,rbgfin@gmail.com,,,,Standalone,,,Non-Transacted,0,21,546,,Manufacture Of Other Knitted And Crocheted Apparel Including Hosiery,,113,,1993,Listed,,,,H No 6-2-966/5/1,,3,1,500004,113,040- 3405248 3417800   ,040- 6625022  ,crcoca@gmail.com,,,,S S R Kishen,Managing Director,,,,,,,,,,,,,L18100TG1993PLC015718,
,PDS MULTINATIONAL FASHIONS ,PDS MULTINATIONAL FASHIONS LIMITED,Standalone,,,Non-Transacted,0,,,,"Spinning, Weaving And Finishing Of Textiles",,113,,1990,Listed,,,,E 34,,74,15,401506,113,,,info@aareydrugs.com,www.aareydrugs.com,,,Standalone,,,Non-Transacted,0,21,605,,"Spinning, Weaving And Finishing Of Textiles",,113,,2011,Listed,,,,"No. 758 & 759, 2nd Floor",,43,12,560102,113,080-67653000,,investors@pdsmultinational.com,www.pdsmultinational.com,,,Payel Seth,Managing Director,,,,,,,,,,,,,L18101KA2011PLC094125,
,UNITED POLYFAB GUJARAT ,UNITED POLYFAB GUJARAT LIMITED,Standalone,,,Non-Transacted,0,,,,Weaving Of Textiles,,113,,1974,Listed,,,,"A-1, Maharani Bagh",,20,33,110065,113,011-26832155,,bsingh-gpi@modi.com,,,,Standalone,,,Non-Transacted,0,21,605,,Weaving Of Textiles,,113,,2010,Listed,,,,"Survey No. 238, 239, Shahwadi",,23,7,382405,113,9925232824,,info@unitedpolyfab.com,www.upgl.in,,,Gagan Mittal,Managing Director,,,,,,,,,,,,,L18109GJ2010PLC062928,
,MOMAI APPARELS ,MOMAI APPARELS LIMITED,Standalone,,,Non-Transacted,0,,,,Manufacture Of All Types Of Textile Garments And Clothing Accessories,,113,,1984,Listed,,,,Plot No N 198,,74,15,401506,113,,,,www.aartidrugs.com,,,Standalone,,,Non-Transacted,0,21,384,,Manufacture Of All Types Of Textile Garments And Clothing Accessories,,113,,2010,Listed,,,,"Shop No. 305-309, 3rd Floor",,67,15,400028,113,91-022- 24331551,91-022-24331551,investor@ momaiapparels.com,www.momaiapparels.com,,,Harshad Thakkar,Managing Director,,,,,,,,,,,,,L18109MH2010PLC199178,
,WOMENS NEXT LOUNGERIES ,WOMENS NEXT LOUNGERIES LIMITED,Standalone,,,Non-Transacted,0,,,,Manufacture Of All Types Of Textile Garments And Clothing Accessories,,113,,1984,Listed,,,,"Plot No 801,801 / 23",,34,7,396195,113,,,,www.aartigroup.com,,,Standalone,,,Non-Transacted,0,21,384,,Manufacture Of All Types Of Textile Garments And Clothing Accessories,,113,,2010,Listed,,,,"101-105, Indian Complex",,471,15,421329,113,02522-344073,,info@womensnext.in,www.womensnext.in,,,Bhavesh Bhanushali,Managing Director,,,,,,,,,,,,,L18204MH2010PLC211237,
,BULLISH BONDS AND HOLDINGS ,BULLISH BONDS AND HOLDINGS LIMITED,Standalone,,,Non-Transacted,0,,,,"Financial Service Activities, Except Insurance And Pension Funding",,113,,1988,Listed,,,,"191, Shahwadi",,23,7,382405,113,079 -30417000,079 -30417070,grievance@aarvee-denims.com,www.aarvee-denims.com,,,Standalone,,,Non-Transacted,0,2,237,,"Financial Service Activities, Except Insurance And Pension Funding",,113,,1981,Listed,,,,"122, Smbose R D",,109,28,700109,113,91 22 6552 2207,, bullishbonds@gmail.com bullishbonds@gmail.com bullishbonds@gmail.com bullishbonds@gmail.com bullishbonds@gmail.com bullishbonds@gmail.com bullishbonds@gmail.com bullishbonds@gmail.com bullishbonds@gmail.com bullishbonds@gmail.com bullishbonds@gmail.com bullishbonds@gmail.com bullishbonds@gmail.com bullishbonds@gmail.com bullishbonds@gmail.com bullishbonds@gmail.com bullishbonds@gmail.com bullishbonds@gmail.com bullishbonds@gmail.com bullishbonds@gmail.com,http://ww2.bullishbonds.com/?folio=7POYGN0G2,,,Mitesh Hasmukhlal Dani,Managing Director,,,,,,,,,,,,,L19202WB1981PLC034019,
,BALKRISHNA PAPER MILLS ,BALKRISHNA PAPER MILLS LIMITED,Standalone,,,Non-Transacted,0,,,,Manufacture Of Paper And Paper Products,,113,,1986,Listed,,,,"302, Vikas Commercial Complex",,67,15,400080,113,022- 65210253,,aaryagloballtd@gmail.com,NA,,,Standalone,,,Non-Transacted,0,13,454,,Manufacture Of Paper And Paper Products,,113,,2013,Listed,,,,"A/7, Trade World, Kamala City",,67,15,400013,113,+91-22-6120 7900,+91-22-6120 7999,rajesh.solanki@bpml.in,www.npml.in,,,Anurag P Poddar,Managing Director,,,,,,,,,,,,,L21098MH2013PLC244963,
,GENUS PAPER & BOARDS ,GENUS PAPER & BOARDS LIMITED,Standalone,,,Non-Transacted,0,,,,Manufacture Of Paper And Paper Products,,113,,1987,Listed,,,,Plot No. 2,,37,8,122006,113,,,info@aasheeinfotech.com,www.aasheeinfotech.com,,,Standalone,,,Non-Transacted,0,13,454,,Manufacture Of Paper And Paper Products,,113,,2012,Listed,,,,Village Aghwanpur,,372,27,244001,113,0591-2511171,0591-2511242,cs.ankitagg@gmail.com,www.genuspaper.com,,,Kailash Chandra Agarwal,Managing Director,,,,,,,,,,,,,L21098UP2012PLC048300,
,CORAL NEWSPRINTS ,CORAL NEWSPRINTS LIMITED,Standalone,,,Non-Transacted,0,,,,Manufacture Of News Print,,113,,1997,Listed,,,,606,,367,8,135003,113,     ,-- ,akgoel@yahoo.com ,NA,,,Standalone,,,Non-Transacted,0,13,454,,Manufacture Of News Print,,113,,1992,Listed,,,,A - 138,,20,33,110092,113,011 - 22010998 ,011 - 22429586,cnpl_5000@rediffmail.com,www.coralnewsprintslimited.com,,,Chetan P S Chauhan,Chairman and CFO,,,,,,,,,,,,,L22219DL1992PLC048398,
,GALA PRINT CITY ,GALA PRINT CITY LIMITED,Standalone,,,Non-Transacted,0,,,,Printing,,113,,1981,Listed,,,,"Mezzanine Floor, Unit No 213, Second Floor",,67,15,400053,113,91-22-40233051-56,91-22-40233055,aasthatv@aasthatv.com,www.aasthatv.com,,,Standalone,,,Non-Transacted,0,13,450,,Printing,,113,,2010,Listed,,,,"B-1, Laxmi Com. Co. Op. Estate",,23,7,380021,113,,,galaprintcity@gmail.com,,,,Vishal Mulchandbhai Gala,Managing Director,,,,,,,,,,,,,L22219GJ2010PLC063243,
,GULF OIL LUBRICANTS INDIA ,GULF OIL LUBRICANTS INDIA LIMITED,Standalone,,,Non-Transacted,0,,,,"Production Of Liquid And Gaseous Fuels, Illuminating Oils, Lubricating Oils Or Greases Or Other Products From Crude Petroleum Or Bituminous Minerals",,113,,1984,Listed,,,,"32, Milan Park Society",,23,7,380008,113,     ,,,,,,Standalone,,,Non-Transacted,0,5,198,,"Production Of Liquid And Gaseous Fuels, Illuminating Oils, Lubricating Oils Or Greases Or Other Products From Crude Petroleum Or Bituminous Minerals",,113,,2008,Listed,,,,"In Centre, 49/50",,67,15,400093,113,,,secretarial@gulfoil.co.in,www.gulfoilindia.com,,,Ravi Chawla,Managing Director,,,,,,,,,,,,,L23203MH2008PLC267060,
,BOMBAY WIRE ROPES ,BOMBAY WIRE ROPES LIMITED,Standalone,,,Non-Transacted,0,,,,Manufacture Of Metal Cable And Other Articles Made Of Wire (Except For Electric Transmission),,113,,1984,Listed,,,,G-321,,20,33,110017,113,011-46095455,,aayushfoodherbs@gmail.com,www.aayushfoods.com,,,Standalone,,,Non-Transacted,0,13,369,,Manufacture Of Metal Cable And Other Articles Made Of Wire (Except For Electric Transmission),,113,,1961,Listed,,,,"401 / 405, Jolly Bhavan No. 1",,67,15,400020,113,022- 22003231 22005056 22004325  ,022- 22060745  ,shareholder@bombaywireropes.com,NA,,,M.L.Mittal,Managing Director,,,,,,,,,,,,,L24110MH1961PLC011922,
,CRAZY INFOTECH ,CRAZY INFOTECH LIMITED,Standalone,,,Non-Transacted,0,,,,Wholesale Of Computers And Computer Peripheral Equipment,,113,,1983,Listed,,,,"206, Neminath Society",,67,15,400057,113,"+91 022-22040888, 22823173",+91 022-22872309,abacomltd@gmail.com,www.abacuscomputers.co.in,,,Standalone,,,Non-Transacted,0,16,392,,Wholesale Of Computers And Computer Peripheral Equipment,,113,,1992,Listed,,,,"No. 3, 2nd Floor",,88,24,600033,113,+91 44-2471 0737,,crazyinfotech@gmail.com,www.crazyinfotech.com,,,N Aravind,Managing Director,,,,,,,,,,,,,L24119CT1992PLC007308,
,HPC BIOSCIENCES ,HPC BIOSCIENCES LIMITED,Standalone,,,Non-Transacted,0,,,,Growing Of Non-Perennial Crops,,113,,1986,Listed,,,,Janpriya Crest,,88,24,600008,113,044 – 49060606,044 – 28195527,ir@aban.com,www.abanoffshore.com,,,Standalone,,,Non-Transacted,0,1,360,,Growing Of Non-Perennial Crops,,113,,2002,Listed,,,,Office No.109. First Floor,,20,33,110092,113,,,hpcbiosci@yahoo.com,www.hpcbiosciences.com,,,Tarun Chauhan,Managing Director,,,,,,,,,,,,,L24119DL2002PLC114026,
,YASH CHEMEX ,YASH CHEMEX LIMITED,Standalone,,,Non-Transacted,0,,,,"Wholesale Of Industrial Chemicals,",,113,,1949,Listed,,,,"21st Floor, World Trade Center",,43,12,560055,113,,,investor.helpdesk@in.abb.com,www.abb.co.in,,,Standalone,,,Non-Transacted,0,16,392,,"Wholesale Of Industrial Chemicals,",,113,,2006,Listed,,,,"411, Sigma Icon -1",,23,7,380015,113,079-26730257/58,079-26730258,ipo@yashchemex.com,www.yashchemex.com,,,Pritesh Shah,Managing Director,,,,,,,,,,,,,L24119GJ2006PLC048385,
,SHALIMAR PAINTS ,SHALIMAR PAINTS LIMITED,Standalone,,,Non-Transacted,0,,,,"Manufacture Of Paints And Varnishes, Enamels Or Lacquers",,113,,1944,Listed,,,,3-4 Corporate Park,,67,15,400071,113,022- 67978888    ,022- 67978727  ,investor.relations@abbott.co.in & webmaster@abbott.co.in,www.abbott.co.in,,,Standalone,,,Non-Transacted,0,13,507,,"Manufacture Of Paints And Varnishes, Enamels Or Lacquers",,113,,1902,Listed,,,,4th Floor,,37,8,122001,113,0124-4616600,0124-4616659,hwhsec@shalimarpaints.com,www.shalimarpaints.com,,,Surender Kumar,Managing Director,,,,,,,,,,,,,L24222HR1902PLC001540,
